12:11:13.695 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:13.699 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:13.706 [Thread-0] INFO  c.d.edgefs.edge.server.EdgeServer - Starting the Edge Server.. 
12:11:14.597 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:14.601 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:14.666 [Thread-0] INFO  c.d.edgefs.edge.server.EdgeServer - Starting the Edge Server.. 
12:11:14.888 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:14.895 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:14.901 [Thread-0] INFO  c.d.edgefs.edge.server.EdgeServer - Starting the Edge Server.. 
12:11:15.503 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:15.509 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:15.520 [Thread-0] INFO  c.d.edgefs.edge.server.EdgeServer - Starting the Edge Server.. 
12:11:15.680 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:15.684 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:15.685 [Thread-0] INFO  c.d.edgefs.edge.server.EdgeServer - Starting the Edge Server.. 
12:11:16.520 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:16.525 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:16.565 [Thread-0] INFO  c.d.edgefs.edge.server.EdgeServer - Starting the Edge Server.. 
12:11:16.989 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:16.997 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:16.998 [Thread-0] INFO  c.d.edgefs.edge.server.EdgeServer - Starting the Edge Server.. 
12:11:17.278 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:17.282 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:17.295 [Thread-0] INFO  c.d.edgefs.edge.server.EdgeServer - Starting the Edge Server.. 
12:11:17.301 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:17.305 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:17.309 [Thread-0] INFO  c.d.edgefs.edge.server.EdgeServer - Starting the Edge Server.. 
12:11:17.606 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
